model_id,model,P_vector,model_average_fidelity,model_average_fidelity_gauge
20260213_141955_random_0,"[[[(0.6538996867584745+0j), (-0.399299195736216-0.033313227042614114j)], [(-0.399299195736216+0.033313227042614114j), (0.34610031324152546+0j)]], [[(-0.29864846183574156-0.7909039717189188j), (-0.22156126896711226-0.4859944524951581j)], [(0.4096469481447849+0.34273806563912534j), (-0.6831101389138767-0.4980768357901006j)]], [[(0.4879830144156333+0j), (0.22428436318015832+0.44671256585228947j)], [(0.22428436318015832-0.44671256585228947j), (0.5120169855843668+0j)]]]","[0.712575, 0.523481, 0.357423]",0.427828,0.755888
20260213_141955_random_1,"[[[(0.2909850893572301+0j), (0.3697807855654963+0.12604413548069576j)], [(0.3697807855654963-0.12604413548069576j), (0.7090149106427699+0j)]], [[(0.15166403832881126+0.5903126498532258j), (0.6231052217878134+0.49017229367011345j)], [(-0.38642675060934206-0.6922451598346973j), (0.5592369957208273+0.2423323909758731j)]], [[(0.01895224185485703+0j), (0.05892446988791637+0.1229673177391459j)], [(0.05892446988791637-0.1229673177391459j), (0.9810477581451429+0j)]]]","[0.224331, 0.748234, 0.63877]",0.652041,0.652041
20260213_141955_random_2,"[[[(0.0990167438191042+0j), (-0.05046099843518593-0.04897748713404424j)], [(-0.05046099843518593+0.04897748713404424j), (0.9009832561808958+0j)]], [[(-0.3511767803853314+0.8675542301169878j), (0.24207671061388508-0.2557799697057509j)], [(0.3394247419860824-0.09389020849904892j), (0.9309382555556467+0.096589013964817j)]], [[(0.1309272849521776+0j), (0.1769462677483354+0.2871852178249488j)], [(0.1769462677483354-0.2871852178249488j), (0.8690727150478225+0j)]]]","[0.250005, 0.862938, 0.38083]",0.527887,0.650627
20260213_141955_random_3,"[[[(0.8799204993586003+0j), (0.2728490270599211-0.006789942960712219j)], [(0.2728490270599211+0.006789942960712219j), (0.12007950064139968+0j)]], [[(0.1572017419962614+0.47773547063481153j), (0.3358921248090596+0.7963874138269208j)], [(-0.8109116805722039+0.2991298693247465j), (0.45617489886655926-0.21177353289164513j)]], [[(0.25953087247685436+0j), (-0.39735491832890757+0.18515849315676636j)], [(-0.39735491832890757-0.18515849315676636j), (0.7404691275231458+0j)]]]","[0.902069, 0.108664, 0.750385]",0.720105,0.73379
20260213_141955_random_4,"[[[(0.22839749557361094+0j), (0.07269131782847717+0.30976550606733044j)], [(0.07269131782847717-0.30976550606733044j), (0.7716025044263891+0j)]], [[(-0.3458165465894498+0.29303643767560217j), (0.8902719888268235-0.044230625246226785j)], [(-0.18515629252821442+0.8719275827937467j), (-0.34427148314777084+0.29485010359824226j)]], [[(0.1012687743262587+0j), (-0.16569739401885078-0.2521066902882145j)], [(-0.16569739401885078+0.2521066902882145j), (0.8987312256737413+0j)]]]","[0.463685, 0.10215, 0.396968]",0.658042,0.688806
20260213_141955_random_5,"[[[(0.26516209406391367+0j), (0.3653269318817876+0.07093785296119617j)], [(0.3653269318817876-0.07093785296119617j), (0.7348379059360864+0j)]], [[(0.3308474432460562+0.6570731215279545j), (-0.6174789670569848+0.27841445275936494j)], [(-0.016691069437202662+0.6771383097005367j), (0.7339907097612683+0.049626159644806205j)]], [[(0.18172925962479589+0j), (0.32947008669708894+0.20038262847071384j)], [(0.32947008669708894-0.20038262847071384j), (0.8182707403752042+0j)]]]","[0.081358, 0.207907, 0.090271]",0.567209,0.596632
20260213_141955_random_6,"[[[(0.5960690345614155+0j), (0.21909401065195486+0.28154060262060676j)], [(0.21909401065195486-0.28154060262060676j), (0.40393096543858453+0j)]], [[(-0.42133678905612415+0.034922659023277014j), (0.8808547539637894-0.21295685124928704j)], [(0.8379599439969998-0.34507803513287133j), (0.3614976488164587-0.21923442208182847j)]], [[(0.6027877579655812+0j), (-0.4632304773795537+0.15764581072492814j)], [(-0.4632304773795537-0.15764581072492814j), (0.39721224203441874+0j)]]]","[0.594465, 0.446227, 0.529136]",0.749645,0.749645
20260213_141955_random_7,"[[[(0.708044815808242+0j), (0.07014142026908127-0.2460623759043032j)], [(0.07014142026908127+0.2460623759043032j), (0.29195518419175803+0j)]], [[(-0.20710568677611052+0.618437934682221j), (0.1794380391767234-0.7365078041320385j)], [(0.5387413693403488+0.5332911891380454j), (0.5004419788869214+0.4182296860778264j)]], [[(0.6612576820683188+0j), (0.25644392987024334-0.39778445269600304j)], [(0.25644392987024334+0.39778445269600304j), (0.33874231793168114+0j)]]]","[0.201168, 0.417398, 0.380849]",0.530558,0.630062
20260213_141955_random_8,"[[[(0.4632616220258025+0j), (0.335992358809845-0.28763756811622365j)], [(0.335992358809845+0.28763756811622365j), (0.5367383779741975+0j)]], [[(-0.7943332242391118-0.42199463467805187j), (-0.332217576176547+0.2838780358749421j)], [(0.38870353901428506+0.19966175380028298j), (-0.675680092159933+0.5937180777826369j)]], [[(0.20083158130604584+0j), (0.17168991736580996+0.3619679951750987j)], [(0.17168991736580996-0.3619679951750987j), (0.7991684186939543+0j)]]]","[0.570876, 0.575066, 0.598347]",0.612692,0.713085
20260213_141955_random_9,"[[[(0.48121748348774984+0j), (0.077614314258966-0.08149225964664987j)], [(0.077614314258966+0.08149225964664987j), (0.5187825165122503+0j)]], [[(0.7778183406178265-0.009016524876032302j), (0.4928169375223138+0.3899343500755205j)], [(-0.3043480376715072-0.5498086969512155j), (-0.13573911338169203+0.7659357426185707j)]], [[(0.7992823180397899+0j), (0.30079443437558157+0.2644859209058284j)], [(0.30079443437558157-0.2644859209058284j), (0.20071768196021028+0j)]]]","[0.507658, 0.439829, 0.589075]",0.646513,0.664322
20260213_142026_random_0,"[[[(0.6537171628787953+0j), (-0.059815076425369075+0.2069082283793973j)], [(-0.059815076425369075-0.2069082283793973j), (0.3462828371212047+0j)]], [[(0.49145541693122846-0.4330948222545078j), (-0.5356775838161043+0.5328695659373216j)], [(0.7511636570363289-0.08156965399643024j), (0.6457709468489456-0.10990648798195525j)]], [[(0.25988384598653097+0j), (0.4331123449344124+0.06897774457891882j)], [(0.4331123449344124-0.06897774457891882j), (0.740116154013469+0j)]]]","[0.597089, 0.68221, 0.468864]",0.491226,0.684856
